Date,Total Volume
4/2/2026,964.0
4/11/2026,1.0
4/13/2026,0.0
4/17/2026,0.0
4/18/2026,0.0
4/20/2026,16.0
4/21/2026,6463213.0
4/22/2026,2944469.0
4/23/2026,6556924.0
2026-04-23,6556891.0
2026-04-23,6556891.0
2026-04-24,0.0
2026-04-29,0.0
2026-04-30,148.0
2026-05-01,2976187.0
2026-05-04,6623437.0
2026-05-04,6850166.0
2026-05-05,7335032.0
2026-05-06,2449874.0
2026-05-07,2656460.0
2026-05-08,6565100.0
2026-05-11,2880615.0
2026-05-12,5935152.0
2026-05-13,82.0
2026-05-14,2581.0
2026-05-15,90.0
2026-05-18,300993.0
2026-05-20,5291.0
2026-05-21,6587431.0
2026-05-22,2927563.0
2026-05-26,80.0
2026-05-27,4.0
2026-05-28,6626907.0
2026-05-29,2947653.0
2026-06-01,6510276.0
2026-06-01,6503944.0
2026-06-02,2950857.0
2026-06-02,2950857.0
2026-06-03,2906282.0
2026-06-04,6684073.0
2026-06-05,237.0
2026-06-08,200.0
2026-06-09,2835.0
2026-06-10,2983910.0
2026-06-11,2978676.0
2026-06-12,2979284.0
2026-06-15,2843.0
2026-06-16,231314294.0
2026-06-17,2857.0
2026-06-18,3354358.0
2026-06-19,86.0
2026-06-22,309645.0
2026-06-23,307088.0
2026-06-25,307803.0
2026-06-26,1019864.0
2026-06-29,240068879.0
2026-07-02,0.0
2026-07-02,224672614.0
2026-07-03,2435645.0
